"route_id","route_name","route_direction","start_name","end_name","route_length","start_lon","start_lat","end_lon","end_lat","route_subid","route_preid","route_corid"
"1","Ｇ１０９","E-W","Ｘ００８","灵山路","2934","115.50745","39.93952","115.49203","39.95016","14","","3978"
"2","Ｇ１０９","E-W","Ｙ６１０","Ｙ７０９","1555","115.83152","40.01699","115.81801","40.01433","","","3977"
"3","Ｇ１０９","E-W","Ｙ７０２","军红路","570","115.77836","39.99875","115.776","39.99695","","",""
"4","Ｇ１０９","E-W","Ｙ７０４","斋幽路","530","115.72351","39.98076","115.71766","39.97914","24+55","5+36",""
"5","Ｇ１０９","E-W","Ｙ７０７","Ｙ７０４","344","115.72694","39.98236","115.72351","39.98076","4","12",""
"6","Ｇ１０９","E-W","Ｙ７０９","Ｙ７０２","5704","115.81755","40.01419","115.77978","40","","",""
"7","Ｇ１０９","E-W","百花山路","Ｘ００８","5518","115.5727","39.92577","115.52012","39.93038","","18",""
"8","Ｇ１０９","E-W","达洪路","上燕路","1927","115.6365","39.94352","115.61871","39.94426","","",""
"9","Ｇ１０９","E-W","东方红隧道","下安路","4231","115.97152","40.00701","115.94207","40.00638","19","11",""
"10","Ｇ１０９","E-W","高芹路","Ｙ６１０","7840","115.87598","40.03907","115.83161","40.01699","","",""
"11","Ｇ１０９","E-W","黄岭路","东方红隧道","4083","115.99616","40.00879","115.97152","40.00701","9","17",""
"12","Ｇ１０９","E-W","军红路","Ｙ７０７","4802","115.76618","39.99431","115.72694","39.98236","5+36","",""
"13","Ｇ１０９","E-W","军温路","中粮桥","1808","116.09383","39.99663","116.08656","40.00132","","",""
"14","Ｇ１０９","E-W","灵山路","Ｓ２４１","21070","115.49203","39.95016","115.4106","40.01729","","1",""
"15","Ｇ１０９","E-W","妙峰山路","石担路","1272","116.05444","39.98956","116.04063","39.9867","31","25",""
"16","Ｇ１０９","E-W","南雁路","高芹路","140","115.87748","40.03888","115.87647","40.03923","","19",""
"17","Ｇ１０９","E-W","上苇甸路","黄岭路","1533","116.00797","40.0067","115.99616","40.00879","11","20",""
"18","Ｇ１０９","E-W","上燕路","百花山路","5015","115.60903","39.94135","115.5727","39.92577","7","",""
"19","Ｇ１０９","E-W","下安路","南雁路","8702","115.94207","40.00638","115.87748","40.03888","16","9",""
"20","Ｇ１０９","E-W","下安路","上苇甸路","1933","116.02499","40.0012","116.00797","40.0067","17","31",""
