id,start_lat,start_lon,end_lat,end_lon
1,115.50745,39.93952,115.49203,39.95016
2,115.83152,40.01699,115.81801,40.01433
3,115.77836,39.99875,115.776,39.99695
4,115.72351,39.98076,115.71766,39.97914
5,115.72694,39.98236,115.72351,39.98076
6,115.81755,40.01419,115.77978,40
7,115.5727,39.92577,115.52012,39.93038
8,115.6365,39.94352,115.61871,39.94426
9,115.97152,40.00701,115.94207,40.00638
10,115.87598,40.03907,115.83161,40.01699
11,115.99616,40.00879,115.97152,40.00701
12,115.76618,39.99431,115.72694,39.98236
13,116.09383,39.99663,116.08656,40.00132
14,115.49203,39.95016,115.4106,40.01729
15,116.05444,39.98956,116.04063,39.9867
16,115.87748,40.03888,115.87647,40.03923
17,116.00797,40.0067,115.99616,40.00879
18,115.60903,39.94135,115.5727,39.92577
19,115.94207,40.00638,115.87748,40.03888
20,116.02499,40.0012,116.00797,40.0067
21,115.67854,39.96876,115.64042,39.94364
22,115.6969,39.96946,115.68126,39.9678
23,115.70758,39.97698,115.6969,39.96946
24,115.71766,39.97914,115.71682,39.97895
25,116.07729,40.00465,116.05444,39.98956
26,115.375,40.08274,115.41046,40.02248
27,116.0943,39.99535,116.10633,39.96137
28,116.02699,40.00116,116.04063,39.9867
29,115.41007,40.02303,115.38282,40.06392
30,116.10678,39.96088,116.09417,39.99585
31,116.04063,39.9867,116.02499,40.0012
32,115.41046,40.02248,115.49052,39.95054
33,115.5158,39.93334,115.5668,39.92536
34,115.83314,40.01721,115.87579,40.0385
35,115.77966,39.99989,115.81801,40.01433
36,115.72694,39.98236,115.72351,39.98076
37,115.72883,39.98353,115.77491,39.99631
38,115.82028,40.01508,115.83091,40.01579
39,115.57394,39.92612,115.61871,39.94426
40,115.64305,39.94396,115.67905,39.96694
41,115.97219,40.00753,115.99692,40.00789
42,115.87598,40.03907,115.87647,40.03923
43,115.99618,40.00889,116.00174,40.00593
44,115.77491,39.99631,115.77966,39.99989
45,115.49599,39.94775,115.5158,39.93334
46,116.05508,39.98987,116.07366,40.00372
47,115.87839,40.03827,115.94134,40.00695
48,116.00807,40.00671,116.02478,40.00109
49,115.61953,39.9442,115.64042,39.94364
50,116.04084,39.98661,116.05436,39.98952
51,115.94225,40.00624,115.96812,40.00367
52,115.67854,39.96876,115.69575,39.96853
53,115.70128,39.97241,115.70765,39.97704
54,115.70803,39.97734,115.71736,39.97907
55,115.71766,39.97914,115.7231,39.98065
56,116.07729,40.00465,116.09417,39.99585
57,116.53045,39.86992,116.52423,39.87022
58,116.50986,39.87083,116.50064,39.87111
59,116.56911,39.86841,116.56353,39.86867
60,116.55717,39.86885,116.55458,39.86898
61,116.52135,39.87035,116.51319,39.87087
62,116.54801,39.8718,116.53103,39.86989
63,116.50064,39.87111,116.49291,39.87151
64,116.53072,39.86948,116.54219,39.869
65,116.50514,39.87053,116.51018,39.87028
66,116.51411,39.87005,116.51962,39.86999
67,116.55324,39.86853,116.5722,39.86782
68,116.49983,39.87069,116.50514,39.87053
69,116.49071,39.86973,116.49983,39.87069
70,116.52149,39.86991,116.53072,39.86948
71,116.54219,39.869,116.55324,39.86853
72,116.51018,39.87028,116.51385,39.87005
73,116.30279,39.8816,116.296,39.88021
74,116.30819,39.88393,116.30279,39.8816
75,116.25714,39.86593,116.24883,39.86242
76,116.29462,39.87986,116.2782,39.87676
